mode	drug	no_feats	F1-score_macro	c_param
expr_snps	Meropenem	108	0.7631	0.5
expr_snps	Meropenem	2	0.7366	0.005
expr_snps	Meropenem	5	0.7329	0.0085
expr_snps	Meropenem	3	0.7323	0.007
expr_snps	Meropenem	123	0.7314	0.2
expr_snps	Meropenem	151	0.7233	0.25
expr_snps	Meropenem	0	0.2386	0.0015
expr_snps	Meropenem	0	0.2386	0.004
expr_snps	Meropenem	0	0.2386	0.003
expr_snps	Meropenem	0	0.2386	0.0025
expr_snps	Meropenem	0	0.2386	0.002
expr_snps	Meropenem	0	0.2386	0.001
expr_snps	Tobramycin	97	0.9147	0.3
expr_snps	Tobramycin	92	0.91	0.05
expr_snps	Tobramycin	70	0.91	0.03
expr_snps	Tobramycin	82	0.9066	0.04
expr_snps	Tobramycin	61	0.9033	0.025
expr_snps	Tobramycin	107	0.9022	0.07
expr_snps	Tobramycin	95	0.9015	0.15
expr_snps	Tobramycin	94	0.901	0.085
expr_snps	Tobramycin	97	0.8977	0.1
expr_snps	Tobramycin	73	0.8972	1.0
expr_snps	Tobramycin	92	0.8961	0.7
expr_snps	Tobramycin	96	0.8939	0.2
expr_snps	Tobramycin	91	0.8928	0.5
expr_snps	Tobramycin	42	0.8907	0.015
expr_snps	Tobramycin	55	0.8901	0.02
expr_snps	Tobramycin	75	0.8896	0.85
expr_snps	Tobramycin	105	0.8896	0.25
expr_snps	Tobramycin	95	0.8798	0.4
expr_snps	Tobramycin	25	0.8488	0.01
expr_snps	Tobramycin	15	0.8396	0.0085
expr_snps	Tobramycin	11	0.8176	0.007
expr_snps	Tobramycin	8	0.8086	0.005
expr_snps	Tobramycin	8	0.773	0.004
expr_snps	Tobramycin	3	0.6979	0.003
expr_snps	Tobramycin	0	0.4069	0.0025
expr_snps	Tobramycin	0	0.4069	0.002
expr_snps	Tobramycin	0	0.4069	0.0015
expr_snps	Tobramycin	0	0.4069	0.001
expr	Ceftazidim	44	0.8209	0.025
expr	Ceftazidim	33	0.8134	0.02
expr	Ceftazidim	68	0.8096	0.04
expr	Ceftazidim	49	0.806	0.03
expr	Ceftazidim	21	0.8022	0.015
expr	Ceftazidim	86	0.7909	0.05
expr	Ceftazidim	10	0.7903	0.01
expr	Ceftazidim	131	0.7873	0.25
expr	Ceftazidim	99	0.7836	0.07
expr	Ceftazidim	105	0.7798	0.085
expr	Ceftazidim	136	0.7798	0.5
expr	Ceftazidim	138	0.7761	0.7
expr	Ceftazidim	132	0.7724	0.4
expr	Ceftazidim	137	0.7687	0.85
expr	Ceftazidim	128	0.7686	0.15
expr	Ceftazidim	115	0.7686	0.1
expr	Ceftazidim	144	0.7685	1.0
expr	Ceftazidim	143	0.7575	0.2
expr	Ceftazidim	135	0.7537	0.3
expr	Ceftazidim	7	0.747	0.0085
expr	Ceftazidim	5	0.7357	0.007
expr	Ceftazidim	1	0.7106	0.005
expr	Ceftazidim	1	0.3444	0.004
expr	Ceftazidim	0	0.335	0.0015
expr	Ceftazidim	0	0.335	0.003
expr	Ceftazidim	0	0.335	0.0025
expr	Ceftazidim	0	0.335	0.002
expr	Ceftazidim	0	0.335	0.001
expr	Ciprofloxacin	39	0.8084	0.02
expr	Ciprofloxacin	63	0.8083	0.03
expr	Ciprofloxacin	160	0.8034	0.25
expr	Ciprofloxacin	133	0.8031	0.5
expr	Ciprofloxacin	139	0.8002	1.0
expr	Ciprofloxacin	55	0.7979	0.025
expr	Ciprofloxacin	138	0.7955	0.3
expr	Ciprofloxacin	28	0.7944	0.015
expr	Ciprofloxacin	80	0.7906	0.04
expr	Ciprofloxacin	93	0.7904	0.05
expr	Ciprofloxacin	143	0.7891	0.85
expr	Ciprofloxacin	138	0.7888	0.15
expr	Ciprofloxacin	121	0.7864	0.07
expr	Ciprofloxacin	133	0.7862	0.085
expr	Ciprofloxacin	132	0.7854	0.2
expr	Ciprofloxacin	135	0.7851	0.4
expr	Ciprofloxacin	132	0.7823	0.1
expr	Ciprofloxacin	147	0.782	0.7
expr	Ciprofloxacin	16	0.756	0.01
expr	Ciprofloxacin	8	0.7385	0.007
expr	Ciprofloxacin	13	0.7351	0.0085
expr	Ciprofloxacin	4	0.6894	0.005
expr	Ciprofloxacin	2	0.4344	0.004
expr	Ciprofloxacin	0	0.3084	0.0015
expr	Ciprofloxacin	0	0.3084	0.003
expr	Ciprofloxacin	0	0.3084	0.0025
expr	Ciprofloxacin	0	0.3084	0.002
expr	Ciprofloxacin	0	0.3084	0.001
expr	Meropenem	76	0.8454	0.05
expr	Meropenem	92	0.8401	0.07
expr	Meropenem	115	0.84	0.25
expr	Meropenem	63	0.8391	0.04
expr	Meropenem	101	0.8383	0.085
expr	Meropenem	40	0.8372	0.03
expr	Meropenem	35	0.8275	0.025
expr	Meropenem	106	0.826	0.15
expr	Meropenem	114	0.8246	0.7
expr	Meropenem	87	0.8246	0.1
expr	Meropenem	115	0.8235	0.85
expr	Meropenem	104	0.8213	0.3
expr	Meropenem	29	0.8187	0.02
expr	Meropenem	112	0.8177	0.2
expr	Meropenem	104	0.813	0.4
expr	Meropenem	108	0.8094	0.5
expr	Meropenem	118	0.8094	1.0
expr	Meropenem	17	0.7674	0.015
expr	Meropenem	5	0.7634	0.01
expr	Meropenem	2	0.7366	0.005
expr	Meropenem	3	0.7323	0.007
expr	Meropenem	4	0.7287	0.0085
expr	Meropenem	0	0.2386	0.0015
expr	Meropenem	0	0.2386	0.004
expr	Meropenem	0	0.2386	0.003
expr	Meropenem	0	0.2386	0.0025
expr	Meropenem	0	0.2386	0.002
expr	Meropenem	0	0.2386	0.001
expr	Tobramycin	110	0.8928	0.2
expr	Tobramycin	112	0.8923	0.85
expr	Tobramycin	104	0.8923	0.1
expr	Tobramycin	97	0.8923	0.085
expr	Tobramycin	113	0.8901	0.15
expr	Tobramycin	114	0.8877	1.0
expr	Tobramycin	109	0.8857	0.3
expr	Tobramycin	114	0.8851	0.25
expr	Tobramycin	100	0.8851	0.07
expr	Tobramycin	109	0.8798	0.7
expr	Tobramycin	84	0.8786	0.05
expr	Tobramycin	112	0.8772	0.4
expr	Tobramycin	77	0.8695	0.04
expr	Tobramycin	109	0.8643	0.5
expr	Tobramycin	59	0.8575	0.03
expr	Tobramycin	51	0.8526	0.025
expr	Tobramycin	35	0.8464	0.02
expr	Tobramycin	24	0.8183	0.015
expr	Tobramycin	7	0.7938	0.007
expr	Tobramycin	12	0.7908	0.01
expr	Tobramycin	3	0.7893	0.005
expr	Tobramycin	3	0.7893	0.004
expr	Tobramycin	11	0.7849	0.0085
expr	Tobramycin	2	0.7271	0.003
expr	Tobramycin	0	0.4069	0.0015
expr	Tobramycin	0	0.4069	0.0025
expr	Tobramycin	0	0.4069	0.002
expr	Tobramycin	0	0.4069	0.001
gpa_expr_snps	Ceftazidim	163	0.8207	0.2
gpa_expr_snps	Ceftazidim	89	0.8134	0.02
gpa_expr_snps	Ceftazidim	43	0.8134	0.015
gpa_expr_snps	Ceftazidim	102	0.8097	0.025
gpa_expr_snps	Ceftazidim	137	0.8096	0.04
gpa_expr_snps	Ceftazidim	19	0.8095	0.01
gpa_expr_snps	Ceftazidim	123	0.8022	0.03
gpa_expr_snps	Ceftazidim	146	0.8022	0.05
gpa_expr_snps	Ceftazidim	13	0.8019	0.0085
gpa_expr_snps	Ceftazidim	180	0.7985	0.1
gpa_expr_snps	Ceftazidim	165	0.7984	0.15
gpa_expr_snps	Ceftazidim	162	0.7984	0.085
gpa_expr_snps	Ceftazidim	121	0.7948	1.0
gpa_expr_snps	Ceftazidim	160	0.7947	0.07
gpa_expr_snps	Ceftazidim	175	0.7947	0.25
gpa_expr_snps	Ceftazidim	123	0.791	0.85
gpa_expr_snps	Ceftazidim	235	0.791	0.3
gpa_expr_snps	Ceftazidim	133	0.7909	0.7
gpa_expr_snps	Ceftazidim	133	0.7835	0.4
gpa_expr_snps	Ceftazidim	128	0.7761	0.5
gpa_expr_snps	Ceftazidim	6	0.7295	0.007
gpa_expr_snps	Ceftazidim	2	0.7147	0.005
gpa_expr_snps	Ceftazidim	1	0.3444	0.004
gpa_expr_snps	Ceftazidim	0	0.335	0.0015
gpa_expr_snps	Ceftazidim	0	0.335	0.003
gpa_expr_snps	Ceftazidim	0	0.335	0.0025
gpa_expr_snps	Ceftazidim	0	0.335	0.002
gpa_expr_snps	Ceftazidim	0	0.335	0.001
gpa_expr_snps	Ciprofloxacin	22	0.9115	0.015
gpa_expr_snps	Ciprofloxacin	48	0.9115	0.085
gpa_expr_snps	Ciprofloxacin	41	0.9082	0.025
gpa_expr_snps	Ciprofloxacin	51	0.908	0.04
gpa_expr_snps	Ciprofloxacin	49	0.908	0.1
gpa_expr_snps	Ciprofloxacin	52	0.908	0.05
gpa_expr_snps	Ciprofloxacin	47	0.908	0.03
gpa_expr_snps	Ciprofloxacin	41	0.908	0.02
gpa_expr_snps	Ciprofloxacin	76	0.901	0.25
gpa_expr_snps	Ciprofloxacin	50	0.9008	0.07
gpa_expr_snps	Ciprofloxacin	54	0.9008	0.2
gpa_expr_snps	Ciprofloxacin	121	0.9006	0.3
gpa_expr_snps	Ciprofloxacin	45	0.8972	0.15
gpa_expr_snps	Ciprofloxacin	59	0.8944	0.4
gpa_expr_snps	Ciprofloxacin	67	0.8906	0.85
gpa_expr_snps	Ciprofloxacin	7	0.8896	0.0085
gpa_expr_snps	Ciprofloxacin	10	0.8896	0.01
gpa_expr_snps	Ciprofloxacin	5	0.8896	0.007
gpa_expr_snps	Ciprofloxacin	2	0.8896	0.005
gpa_expr_snps	Ciprofloxacin	1	0.8896	0.004
gpa_expr_snps	Ciprofloxacin	1	0.8896	0.003
gpa_expr_snps	Ciprofloxacin	67	0.887	0.7
gpa_expr_snps	Ciprofloxacin	154	0.8868	0.5
gpa_expr_snps	Ciprofloxacin	74	0.8803	1.0
gpa_expr_snps	Ciprofloxacin	1	0.6906	0.0025
gpa_expr_snps	Ciprofloxacin	0	0.3084	0.0015
gpa_expr_snps	Ciprofloxacin	0	0.3084	0.002
gpa_expr_snps	Ciprofloxacin	0	0.3084	0.001
gpa_expr_snps	Meropenem	84	0.8706	0.85
gpa_expr_snps	Meropenem	143	0.8692	0.2
gpa_expr_snps	Meropenem	163	0.867	0.5
gpa_expr_snps	Meropenem	88	0.8626	0.7
gpa_expr_snps	Meropenem	93	0.8589	1.0
gpa_expr_snps	Meropenem	141	0.8584	0.07
gpa_expr_snps	Meropenem	147	0.8576	0.15
gpa_expr_snps	Meropenem	97	0.8545	0.3
gpa_expr_snps	Meropenem	142	0.8541	0.1
gpa_expr_snps	Meropenem	136	0.8525	0.4
gpa_expr_snps	Meropenem	99	0.852	0.04
gpa_expr_snps	Meropenem	120	0.8513	0.05
gpa_expr_snps	Meropenem	107	0.8497	0.25
gpa_expr_snps	Meropenem	153	0.8497	0.085
gpa_expr_snps	Meropenem	71	0.8492	0.03
gpa_expr_snps	Meropenem	58	0.8387	0.025
gpa_expr_snps	Meropenem	7	0.8352	0.0085
gpa_expr_snps	Meropenem	9	0.8352	0.01
gpa_expr_snps	Meropenem	38	0.8317	0.02
gpa_expr_snps	Meropenem	19	0.8317	0.015
gpa_expr_snps	Meropenem	5	0.8302	0.007
gpa_expr_snps	Meropenem	2	0.7709	0.005
gpa_expr_snps	Meropenem	1	0.3127	0.004
gpa_expr_snps	Meropenem	0	0.2386	0.0015
gpa_expr_snps	Meropenem	0	0.2386	0.003
gpa_expr_snps	Meropenem	0	0.2386	0.0025
gpa_expr_snps	Meropenem	0	0.2386	0.002
gpa_expr_snps	Meropenem	0	0.2386	0.001
gpa_expr_snps	Tobramycin	79	0.9152	0.04
gpa_expr_snps	Tobramycin	66	0.9152	0.85
gpa_expr_snps	Tobramycin	65	0.9152	0.03
gpa_expr_snps	Tobramycin	71	0.9143	0.5
gpa_expr_snps	Tobramycin	112	0.9128	0.4
gpa_expr_snps	Tobramycin	50	0.9118	0.02
gpa_expr_snps	Tobramycin	92	0.9114	0.05
gpa_expr_snps	Tobramycin	95	0.9109	0.07
gpa_expr_snps	Tobramycin	74	0.9105	0.2
gpa_expr_snps	Tobramycin	59	0.9081	0.025
gpa_expr_snps	Tobramycin	74	0.9071	0.7
gpa_expr_snps	Tobramycin	64	0.9066	1.0
gpa_expr_snps	Tobramycin	37	0.9043	0.015
gpa_expr_snps	Tobramycin	93	0.9038	0.15
gpa_expr_snps	Tobramycin	89	0.901	0.1
gpa_expr_snps	Tobramycin	83	0.9	0.085
gpa_expr_snps	Tobramycin	84	0.8928	0.3
gpa_expr_snps	Tobramycin	17	0.8901	0.01
gpa_expr_snps	Tobramycin	5	0.8871	0.005
gpa_expr_snps	Tobramycin	13	0.8824	0.0085
gpa_expr_snps	Tobramycin	77	0.881	0.25
gpa_expr_snps	Tobramycin	4	0.8784	0.004
gpa_expr_snps	Tobramycin	8	0.8772	0.007
gpa_expr_snps	Tobramycin	2	0.8593	0.003
gpa_expr_snps	Tobramycin	1	0.5962	0.0025
gpa_expr_snps	Tobramycin	0	0.4069	0.0015
gpa_expr_snps	Tobramycin	0	0.4069	0.002
gpa_expr_snps	Tobramycin	0	0.4069	0.001
gpa_expr	Ceftazidim	37	0.8432	0.015
gpa_expr	Ceftazidim	143	0.8207	0.7
gpa_expr	Ceftazidim	137	0.817	0.15
gpa_expr	Ceftazidim	14	0.8167	0.01
gpa_expr	Ceftazidim	125	0.8134	1.0
gpa_expr	Ceftazidim	181	0.8097	0.5
gpa_expr	Ceftazidim	163	0.8096	0.2
gpa_expr	Ceftazidim	60	0.8096	0.02
gpa_expr	Ceftazidim	130	0.8096	0.04
gpa_expr	Ceftazidim	142	0.8059	0.05
gpa_expr	Ceftazidim	109	0.8058	0.03
gpa_expr	Ceftazidim	147	0.8058	0.07
gpa_expr	Ceftazidim	153	0.8057	0.085
gpa_expr	Ceftazidim	155	0.8021	0.1
gpa_expr	Ceftazidim	140	0.8021	0.3
gpa_expr	Ceftazidim	9	0.8012	0.0085
gpa_expr	Ceftazidim	90	0.7983	0.025
gpa_expr	Ceftazidim	172	0.7982	0.25
gpa_expr	Ceftazidim	143	0.7982	0.4
gpa_expr	Ceftazidim	143	0.7724	0.85
gpa_expr	Ceftazidim	6	0.739	0.007
gpa_expr	Ceftazidim	1	0.7106	0.005
gpa_expr	Ceftazidim	1	0.3444	0.004
gpa_expr	Ceftazidim	0	0.335	0.0015
gpa_expr	Ceftazidim	0	0.335	0.003
gpa_expr	Ceftazidim	0	0.335	0.0025
gpa_expr	Ceftazidim	0	0.335	0.002
gpa_expr	Ceftazidim	0	0.335	0.001
gpa_expr	Ciprofloxacin	120	0.8117	0.03
gpa_expr	Ciprofloxacin	73	0.8084	0.02
gpa_expr	Ciprofloxacin	141	0.8081	0.04
gpa_expr	Ciprofloxacin	144	0.8043	0.05
gpa_expr	Ciprofloxacin	97	0.7944	0.025
gpa_expr	Ciprofloxacin	50	0.7943	0.015
gpa_expr	Ciprofloxacin	159	0.7902	1.0
gpa_expr	Ciprofloxacin	159	0.7866	0.07
gpa_expr	Ciprofloxacin	154	0.786	0.1
gpa_expr	Ciprofloxacin	164	0.7854	0.15
gpa_expr	Ciprofloxacin	163	0.7794	0.085
gpa_expr	Ciprofloxacin	147	0.7784	0.4
gpa_expr	Ciprofloxacin	150	0.7753	0.3
gpa_expr	Ciprofloxacin	171	0.7753	0.25
gpa_expr	Ciprofloxacin	16	0.773	0.0085
gpa_expr	Ciprofloxacin	25	0.7696	0.01
gpa_expr	Ciprofloxacin	140	0.7654	0.85
gpa_expr	Ciprofloxacin	148	0.7643	0.7
gpa_expr	Ciprofloxacin	126	0.7606	0.5
gpa_expr	Ciprofloxacin	140	0.7573	0.2
gpa_expr	Ciprofloxacin	8	0.7376	0.007
gpa_expr	Ciprofloxacin	5	0.71	0.005
gpa_expr	Ciprofloxacin	2	0.6993	0.004
gpa_expr	Ciprofloxacin	0	0.3084	0.002
gpa_expr	Ciprofloxacin	0	0.3084	0.0015
gpa_expr	Ciprofloxacin	0	0.3084	0.0025
gpa_expr	Ciprofloxacin	0	0.3084	0.003
gpa_expr	Ciprofloxacin	0	0.3084	0.001
gpa_expr	Meropenem	115	0.8814	0.07
gpa_expr	Meropenem	92	0.8771	0.85
gpa_expr	Meropenem	120	0.8771	0.085
gpa_expr	Meropenem	93	0.8754	0.04
gpa_expr	Meropenem	102	0.8747	0.05
gpa_expr	Meropenem	102	0.8721	0.4
gpa_expr	Meropenem	123	0.8714	0.1
gpa_expr	Meropenem	134	0.8685	0.15
gpa_expr	Meropenem	105	0.867	0.7
gpa_expr	Meropenem	132	0.8633	0.2
gpa_expr	Meropenem	142	0.8626	0.25
gpa_expr	Meropenem	70	0.8611	0.03
gpa_expr	Meropenem	101	0.8589	1.0
gpa_expr	Meropenem	49	0.8569	0.025
gpa_expr	Meropenem	105	0.8517	0.5
gpa_expr	Meropenem	104	0.8489	0.3
gpa_expr	Meropenem	29	0.8463	0.02
gpa_expr	Meropenem	16	0.8387	0.015
gpa_expr	Meropenem	6	0.8352	0.01
gpa_expr	Meropenem	7	0.8352	0.0085
gpa_expr	Meropenem	5	0.8302	0.007
gpa_expr	Meropenem	2	0.7709	0.005
gpa_expr	Meropenem	1	0.3127	0.004
gpa_expr	Meropenem	0	0.2386	0.0015
gpa_expr	Meropenem	0	0.2386	0.003
gpa_expr	Meropenem	0	0.2386	0.0025
gpa_expr	Meropenem	0	0.2386	0.002
gpa_expr	Meropenem	0	0.2386	0.001
gpa_expr	Tobramycin	65	0.936	0.15
gpa_expr	Tobramycin	58	0.9319	0.07
gpa_expr	Tobramycin	64	0.9278	0.085
gpa_expr	Tobramycin	66	0.9248	0.85
gpa_expr	Tobramycin	73	0.9248	0.25
gpa_expr	Tobramycin	63	0.924	0.1
gpa_expr	Tobramycin	27	0.9218	0.015
gpa_expr	Tobramycin	67	0.9218	0.4
gpa_expr	Tobramycin	73	0.9214	0.04
gpa_expr	Tobramycin	46	0.9181	0.025
gpa_expr	Tobramycin	59	0.9181	0.03
gpa_expr	Tobramycin	64	0.9181	0.2
gpa_expr	Tobramycin	73	0.9176	0.05
gpa_expr	Tobramycin	70	0.9147	0.5
gpa_expr	Tobramycin	34	0.9147	0.02
gpa_expr	Tobramycin	63	0.9105	0.3
gpa_expr	Tobramycin	66	0.9076	0.7
gpa_expr	Tobramycin	73	0.9076	1.0
gpa_expr	Tobramycin	15	0.9038	0.01
gpa_expr	Tobramycin	14	0.8989	0.0085
gpa_expr	Tobramycin	9	0.8911	0.007
gpa_expr	Tobramycin	4	0.8871	0.005
gpa_expr	Tobramycin	4	0.8784	0.004
gpa_expr	Tobramycin	2	0.8593	0.003
gpa_expr	Tobramycin	1	0.5962	0.0025
gpa_expr	Tobramycin	0	0.4069	0.0015
gpa_expr	Tobramycin	0	0.4069	0.002
gpa_expr	Tobramycin	0	0.4069	0.001
gpa_snps	Ceftazidim	182	0.6977	0.5
gpa_snps	Ceftazidim	176	0.694	0.7
gpa_snps	Ceftazidim	152	0.6865	0.15
gpa_snps	Ceftazidim	169	0.6828	0.3
gpa_snps	Ceftazidim	171	0.6791	0.25
gpa_snps	Ceftazidim	177	0.6754	0.85
gpa_snps	Ceftazidim	56	0.6678	0.04
gpa_snps	Ceftazidim	174	0.6678	0.2
gpa_snps	Ceftazidim	6	0.663	0.015
gpa_snps	Ceftazidim	144	0.6604	0.1
gpa_snps	Ceftazidim	176	0.6565	0.4
gpa_snps	Ceftazidim	78	0.6529	0.05
gpa_snps	Ceftazidim	171	0.6529	1.0
gpa_snps	Ceftazidim	31	0.6455	0.03
gpa_snps	Ceftazidim	129	0.6454	0.085
gpa_snps	Ceftazidim	108	0.6453	0.07
gpa_snps	Ceftazidim	22	0.6379	0.025
gpa_snps	Ceftazidim	14	0.6378	0.02
gpa_snps	Ceftazidim	0	0.335	0.0015
gpa_snps	Ceftazidim	0	0.335	0.01
gpa_snps	Ceftazidim	0	0.335	0.0085
gpa_snps	Ceftazidim	0	0.335	0.007
gpa_snps	Ceftazidim	0	0.335	0.005
gpa_snps	Ceftazidim	0	0.335	0.004
gpa_snps	Ceftazidim	0	0.335	0.003
gpa_snps	Ceftazidim	0	0.335	0.0025
gpa_snps	Ceftazidim	0	0.335	0.002
gpa_snps	Ceftazidim	0	0.335	0.001
gpa_snps	Ciprofloxacin	69	0.9047	0.085
gpa_snps	Ciprofloxacin	97	0.9011	0.15
gpa_snps	Ciprofloxacin	91	0.9011	0.2
gpa_snps	Ciprofloxacin	59	0.9008	0.07
gpa_snps	Ciprofloxacin	36	0.9008	0.05
gpa_snps	Ciprofloxacin	30	0.8933	0.04
gpa_snps	Ciprofloxacin	76	0.8909	0.1
gpa_snps	Ciprofloxacin	2	0.8896	0.007
gpa_snps	Ciprofloxacin	3	0.8896	0.0085
gpa_snps	Ciprofloxacin	6	0.8896	0.01
gpa_snps	Ciprofloxacin	11	0.8896	0.02
gpa_snps	Ciprofloxacin	15	0.8896	0.025
gpa_snps	Ciprofloxacin	17	0.8896	0.03
gpa_snps	Ciprofloxacin	9	0.8896	0.015
gpa_snps	Ciprofloxacin	94	0.8806	0.7
gpa_snps	Ciprofloxacin	97	0.8801	0.3
gpa_snps	Ciprofloxacin	104	0.8801	0.25
gpa_snps	Ciprofloxacin	98	0.8698	0.5
gpa_snps	Ciprofloxacin	97	0.8697	0.4
gpa_snps	Ciprofloxacin	97	0.866	0.85
gpa_snps	Ciprofloxacin	93	0.8626	1.0
gpa_snps	Ciprofloxacin	1	0.46	0.005
gpa_snps	Ciprofloxacin	0	0.3084	0.0015
gpa_snps	Ciprofloxacin	0	0.3084	0.004
gpa_snps	Ciprofloxacin	0	0.3084	0.003
gpa_snps	Ciprofloxacin	0	0.3084	0.0025
gpa_snps	Ciprofloxacin	0	0.3084	0.002
gpa_snps	Ciprofloxacin	0	0.3084	0.001
gpa_snps	Meropenem	91	0.8553	0.1
gpa_snps	Meropenem	72	0.8525	0.085
gpa_snps	Meropenem	49	0.8525	0.07
gpa_snps	Meropenem	122	0.8464	0.15
gpa_snps	Meropenem	25	0.8434	0.04
gpa_snps	Meropenem	29	0.8434	0.05
gpa_snps	Meropenem	19	0.8434	0.03
gpa_snps	Meropenem	113	0.8419	0.2
gpa_snps	Meropenem	131	0.8282	0.25
gpa_snps	Meropenem	120	0.8257	0.3
gpa_snps	Meropenem	13	0.8225	0.025
gpa_snps	Meropenem	9	0.791	0.02
gpa_snps	Meropenem	144	0.7802	0.4
gpa_snps	Meropenem	141	0.7612	0.5
gpa_snps	Meropenem	145	0.7545	0.85
gpa_snps	Meropenem	137	0.7545	1.0
gpa_snps	Meropenem	140	0.7314	0.7
gpa_snps	Meropenem	4	0.6671	0.015
gpa_snps	Meropenem	0	0.2386	0.0015
gpa_snps	Meropenem	1	0.2386	0.01
gpa_snps	Meropenem	0	0.2386	0.0085
gpa_snps	Meropenem	0	0.2386	0.007
gpa_snps	Meropenem	0	0.2386	0.005
gpa_snps	Meropenem	0	0.2386	0.004
gpa_snps	Meropenem	0	0.2386	0.003
gpa_snps	Meropenem	0	0.2386	0.0025
gpa_snps	Meropenem	0	0.2386	0.002
gpa_snps	Meropenem	0	0.2386	0.001
gpa_snps	Tobramycin	103	0.9022	0.7
gpa_snps	Tobramycin	77	0.8983	0.1
gpa_snps	Tobramycin	72	0.8983	0.085
gpa_snps	Tobramycin	63	0.8983	0.07
gpa_snps	Tobramycin	35	0.8928	0.04
gpa_snps	Tobramycin	24	0.8917	0.03
gpa_snps	Tobramycin	105	0.8917	0.4
gpa_snps	Tobramycin	103	0.8917	1.0
gpa_snps	Tobramycin	99	0.8911	0.5
gpa_snps	Tobramycin	3	0.8877	0.0085
gpa_snps	Tobramycin	103	0.8877	0.85
gpa_snps	Tobramycin	105	0.8877	0.15
gpa_snps	Tobramycin	100	0.8877	0.2
gpa_snps	Tobramycin	101	0.8877	0.3
gpa_snps	Tobramycin	46	0.8857	0.05
gpa_snps	Tobramycin	95	0.8838	0.25
gpa_snps	Tobramycin	4	0.8817	0.01
gpa_snps	Tobramycin	15	0.8725	0.02
