MIC	variable	value	mode	drug
2.0	intermediate (not classified)	56.0	expr	Ciprofloxacin
0.25	total	2.0	expr	Colistin
0.5	total	11.0	expr	Colistin
1.0	total	52.0	expr	Colistin
2.0	total	233.0	expr	Colistin
4.0	total	44.0	expr	Colistin
8.0	total	11.0	expr	Colistin
16.0	total	2.0	expr	Colistin
32.0	total	0.0	expr	Colistin
0.25	misclassified	0.0	expr	Colistin
0.5	misclassified	0.0	expr	Colistin
1.0	misclassified	6.0	expr	Colistin
2.0	misclassified	25.0	expr	Colistin
4.0	misclassified	25.0	expr	Colistin
8.0	misclassified	2.0	expr	Colistin
16.0	misclassified	0.0	expr	Colistin
32.0	misclassified	1.0	expr	Colistin
0.125	total	10.0	expr	Meropenem
0.25	total	18.0	expr	Meropenem
0.5	total	23.0	expr	Meropenem
1.0	total	30.0	expr	Meropenem
2.0	total	14.0	expr	Meropenem
8.0	total	69.0	expr	Meropenem
16.0	total	60.0	expr	Meropenem
32.0	total	33.0	expr	Meropenem
64.0	total	21.0	expr	Meropenem
128.0	total	9.0	expr	Meropenem
256.0	total	3.0	expr	Meropenem
512.0	total	20.0	expr	Meropenem
0.125	misclassified	0.0	expr	Meropenem
0.25	misclassified	3.0	expr	Meropenem
0.5	misclassified	1.0	expr	Meropenem
1.0	misclassified	4.0	expr	Meropenem
2.0	misclassified	7.0	expr	Meropenem
8.0	misclassified	12.0	expr	Meropenem
16.0	misclassified	11.0	expr	Meropenem
32.0	misclassified	2.0	expr	Meropenem
64.0	misclassified	3.0	expr	Meropenem
128.0	misclassified	0.0	expr	Meropenem
256.0	misclassified	1.0	expr	Meropenem
512.0	misclassified	0.0	expr	Meropenem
4.0	intermediate (not classified)	60.0	expr	Meropenem
0.125	total	6.0	expr	Tobramycin
0.25	total	29.0	expr	Tobramycin
0.5	total	64.0	expr	Tobramycin
1.0	total	85.0	expr	Tobramycin
2.0	total	56.0	expr	Tobramycin
4.0	total	15.0	expr	Tobramycin
16.0	total	2.0	expr	Tobramycin
32.0	total	5.0	expr	Tobramycin
64.0	total	15.0	expr	Tobramycin
128.0	total	34.0	expr	Tobramycin
256.0	total	29.0	expr	Tobramycin
512.0	total	12.0	expr	Tobramycin
1024.0	total	19.0	expr	Tobramycin
0.125	misclassified	0.0	expr	Tobramycin
0.25	misclassified	4.0	expr	Tobramycin
0.5	misclassified	3.0	expr	Tobramycin
1.0	misclassified	7.0	expr	Tobramycin
2.0	misclassified	5.0	expr	Tobramycin
4.0	misclassified	3.0	expr	Tobramycin
16.0	misclassified	3.0	expr	Tobramycin
32.0	misclassified	1.0	expr	Tobramycin
64.0	misclassified	4.0	expr	Tobramycin
128.0	misclassified	3.0	expr	Tobramycin
256.0	misclassified	1.0	expr	Tobramycin
512.0	misclassified	1.0	expr	Tobramycin
1024.0	misclassified	0.0	expr	Tobramycin
8.0	intermediate (not classified)	8.0	expr	Tobramycin
0.5	total	3.0	gpa_expr_snps	Ceftazidim
1.0	total	28.0	gpa_expr_snps	Ceftazidim
2.0	total	39.0	gpa_expr_snps	Ceftazidim
4.0	total	32.0	gpa_expr_snps	Ceftazidim
8.0	total	39.0	gpa_expr_snps	Ceftazidim
32.0	total	38.0	gpa_expr_snps	Ceftazidim
64.0	total	33.0	gpa_expr_snps	Ceftazidim
128.0	total	34.0	gpa_expr_snps	Ceftazidim
256.0	total	8.0	gpa_expr_snps	Ceftazidim
512.0	total	8.0	gpa_expr_snps	Ceftazidim
1024.0	total	18.0	gpa_expr_snps	Ceftazidim
0.5	misclassified	2.0	gpa_expr_snps	Ceftazidim
1.0	misclassified	4.0	gpa_expr_snps	Ceftazidim
2.0	misclassified	5.0	gpa_expr_snps	Ceftazidim
4.0	misclassified	10.0	gpa_expr_snps	Ceftazidim
8.0	misclassified	7.0	gpa_expr_snps	Ceftazidim
32.0	misclassified	10.0	gpa_expr_snps	Ceftazidim
64.0	misclassified	8.0	gpa_expr_snps	Ceftazidim
128.0	misclassified	5.0	gpa_expr_snps	Ceftazidim
256.0	misclassified	3.0	gpa_expr_snps	Ceftazidim
512.0	misclassified	0.0	gpa_expr_snps	Ceftazidim
1024.0	misclassified	0.0	gpa_expr_snps	Ceftazidim
16.0	intermediate (not classified)	80.0	gpa_expr_snps	Ceftazidim
0.06	total	9.0	gpa_expr_snps	Ciprofloxacin
0.125	total	34.0	gpa_expr_snps	Ciprofloxacin
0.25	total	28.0	gpa_expr_snps	Ciprofloxacin
0.5	total	35.0	gpa_expr_snps	Ciprofloxacin
1.0	total	32.0	gpa_expr_snps	Ciprofloxacin
4.0	total	25.0	gpa_expr_snps	Ciprofloxacin
8.0	total	20.0	gpa_expr_snps	Ciprofloxacin
16.0	total	44.0	gpa_expr_snps	Ciprofloxacin
32.0	total	56.0	gpa_expr_snps	Ciprofloxacin
64.0	total	24.0	gpa_expr_snps	Ciprofloxacin
128.0	total	10.0	gpa_expr_snps	Ciprofloxacin
256.0	total	6.0	gpa_expr_snps	Ciprofloxacin
0.06	misclassified	2.0	gpa_expr_snps	Ciprofloxacin
0.125	misclassified	1.0	gpa_expr_snps	Ciprofloxacin
0.25	misclassified	2.0	gpa_expr_snps	Ciprofloxacin
0.5	misclassified	7.0	gpa_expr_snps	Ciprofloxacin
1.0	misclassified	9.0	gpa_expr_snps	Ciprofloxacin
4.0	misclassified	5.0	gpa_expr_snps	Ciprofloxacin
8.0	misclassified	6.0	gpa_expr_snps	Ciprofloxacin
16.0	misclassified	1.0	gpa_expr_snps	Ciprofloxacin
32.0	misclassified	1.0	gpa_expr_snps	Ciprofloxacin
64.0	misclassified	1.0	gpa_expr_snps	Ciprofloxacin
128.0	misclassified	0.0	gpa_expr_snps	Ciprofloxacin
256.0	misclassified	0.0	gpa_expr_snps	Ciprofloxacin
2.0	intermediate (not classified)	56.0	gpa_expr_snps	Ciprofloxacin
0.25	total	2.0	gpa_expr_snps	Colistin
0.5	total	9.0	gpa_expr_snps	Colistin
1.0	total	52.0	gpa_expr_snps	Colistin
2.0	total	217.0	gpa_expr_snps	Colistin
4.0	total	47.0	gpa_expr_snps	Colistin
8.0	total	11.0	gpa_expr_snps	Colistin
16.0	total	2.0	gpa_expr_snps	Colistin
32.0	total	1.0	gpa_expr_snps	Colistin
0.25	misclassified	0.0	gpa_expr_snps	Colistin
0.5	misclassified	2.0	gpa_expr_snps	Colistin
1.0	misclassified	6.0	gpa_expr_snps	Colistin
2.0	misclassified	41.0	gpa_expr_snps	Colistin
4.0	misclassified	22.0	gpa_expr_snps	Colistin
8.0	misclassified	2.0	gpa_expr_snps	Colistin
16.0	misclassified	0.0	gpa_expr_snps	Colistin
32.0	misclassified	0.0	gpa_expr_snps	Colistin
0.125	total	9.0	gpa_expr_snps	Meropenem
0.25	total	20.0	gpa_expr_snps	Meropenem
0.5	total	23.0	gpa_expr_snps	Meropenem
1.0	total	29.0	gpa_expr_snps	Meropenem
2.0	total	15.0	gpa_expr_snps	Meropenem
8.0	total	72.0	gpa_expr_snps	Meropenem
16.0	total	60.0	gpa_expr_snps	Meropenem
32.0	total	31.0	gpa_expr_snps	Meropenem
64.0	total	22.0	gpa_expr_snps	Meropenem
128.0	total	9.0	gpa_expr_snps	Meropenem
256.0	total	4.0	gpa_expr_snps	Meropenem
512.0	total	20.0	gpa_expr_snps	Meropenem
0.125	misclassified	1.0	gpa_expr_snps	Meropenem
0.25	misclassified	1.0	gpa_expr_snps	Meropenem
0.5	misclassified	1.0	gpa_expr_snps	Meropenem
1.0	misclassified	5.0	gpa_expr_snps	Meropenem
2.0	misclassified	6.0	gpa_expr_snps	Meropenem
8.0	misclassified	9.0	gpa_expr_snps	Meropenem
16.0	misclassified	11.0	gpa_expr_snps	Meropenem
32.0	misclassified	4.0	gpa_expr_snps	Meropenem
64.0	misclassified	2.0	gpa_expr_snps	Meropenem
128.0	misclassified	0.0	gpa_expr_snps	Meropenem
256.0	misclassified	0.0	gpa_expr_snps	Meropenem
512.0	misclassified	0.0	gpa_expr_snps	Meropenem
4.0	intermediate (not classified)	60.0	gpa_expr_snps	Meropenem
0.125	total	6.0	gpa_expr_snps	Tobramycin
0.25	total	30.0	gpa_expr_snps	Tobramycin
0.5	total	64.0	gpa_expr_snps	Tobramycin
1.0	total	85.0	gpa_expr_snps	Tobramycin
2.0	total	59.0	gpa_expr_snps	Tobramycin
4.0	total	17.0	gpa_expr_snps	Tobramycin
16.0	total	3.0	gpa_expr_snps	Tobramycin
32.0	total	5.0	gpa_expr_snps	Tobramycin
64.0	total	18.0	gpa_expr_snps	Tobramycin
128.0	total	35.0	gpa_expr_snps	Tobramycin
256.0	total	27.0	gpa_expr_snps	Tobramycin
512.0	total	12.0	gpa_expr_snps	Tobramycin
1024.0	total	18.0	gpa_expr_snps	Tobramycin
0.125	misclassified	0.0	gpa_expr_snps	Tobramycin
0.25	misclassified	3.0	gpa_expr_snps	Tobramycin
0.5	misclassified	3.0	gpa_expr_snps	Tobramycin
1.0	misclassified	7.0	gpa_expr_snps	Tobramycin
2.0	misclassified	2.0	gpa_expr_snps	Tobramycin
4.0	misclassified	1.0	gpa_expr_snps	Tobramycin
16.0	misclassified	2.0	gpa_expr_snps	Tobramycin
32.0	misclassified	1.0	gpa_expr_snps	Tobramycin
64.0	misclassified	1.0	gpa_expr_snps	Tobramycin
128.0	misclassified	2.0	gpa_expr_snps	Tobramycin
256.0	misclassified	3.0	gpa_expr_snps	Tobramycin
512.0	misclassified	1.0	gpa_expr_snps	Tobramycin
1024.0	misclassified	1.0	gpa_expr_snps	Tobramycin
8.0	intermediate (not classified)	8.0	gpa_expr_snps	Tobramycin
0.5	total	4.0	gpa_expr	Ceftazidim
1.0	total	26.0	gpa_expr	Ceftazidim
2.0	total	41.0	gpa_expr	Ceftazidim
4.0	total	34.0	gpa_expr	Ceftazidim
8.0	total	40.0	gpa_expr	Ceftazidim
32.0	total	37.0	gpa_expr	Ceftazidim
64.0	total	33.0	gpa_expr	Ceftazidim
128.0	total	33.0	gpa_expr	Ceftazidim
256.0	total	8.0	gpa_expr	Ceftazidim
512.0	total	8.0	gpa_expr	Ceftazidim
1024.0	total	18.0	gpa_expr	Ceftazidim
0.5	misclassified	1.0	gpa_expr	Ceftazidim
1.0	misclassified	6.0	gpa_expr	Ceftazidim
2.0	misclassified	3.0	gpa_expr	Ceftazidim
4.0	misclassified	8.0	gpa_expr	Ceftazidim
8.0	misclassified	6.0	gpa_expr	Ceftazidim
32.0	misclassified	11.0	gpa_expr	Ceftazidim
64.0	misclassified	8.0	gpa_expr	Ceftazidim
128.0	misclassified	6.0	gpa_expr	Ceftazidim
256.0	misclassified	3.0	gpa_expr	Ceftazidim
512.0	misclassified	0.0	gpa_expr	Ceftazidim
1024.0	misclassified	0.0	gpa_expr	Ceftazidim
16.0	intermediate (not classified)	80.0	gpa_expr	Ceftazidim
0.06	total	11.0	gpa_expr	Ciprofloxacin
0.125	total	34.0	gpa_expr	Ciprofloxacin
0.25	total	24.0	gpa_expr	Ciprofloxacin
0.5	total	36.0	gpa_expr	Ciprofloxacin
1.0	total	36.0	gpa_expr	Ciprofloxacin
4.0	total	14.0	gpa_expr	Ciprofloxacin
8.0	total	20.0	gpa_expr	Ciprofloxacin
16.0	total	38.0	gpa_expr	Ciprofloxacin
32.0	total	52.0	gpa_expr	Ciprofloxacin
64.0	total	21.0	gpa_expr	Ciprofloxacin
128.0	total	9.0	gpa_expr	Ciprofloxacin
256.0	total	6.0	gpa_expr	Ciprofloxacin
0.06	misclassified	0.0	gpa_expr	Ciprofloxacin
0.125	misclassified	1.0	gpa_expr	Ciprofloxacin
0.25	misclassified	6.0	gpa_expr	Ciprofloxacin
0.5	misclassified	6.0	gpa_expr	Ciprofloxacin
1.0	misclassified	5.0	gpa_expr	Ciprofloxacin
4.0	misclassified	16.0	gpa_expr	Ciprofloxacin
8.0	misclassified	6.0	gpa_expr	Ciprofloxacin
16.0	misclassified	7.0	gpa_expr	Ciprofloxacin
32.0	misclassified	5.0	gpa_expr	Ciprofloxacin
64.0	misclassified	4.0	gpa_expr	Ciprofloxacin
128.0	misclassified	1.0	gpa_expr	Ciprofloxacin
256.0	misclassified	0.0	gpa_expr	Ciprofloxacin
2.0	intermediate (not classified)	56.0	gpa_expr	Ciprofloxacin
0.25	total	1.0	gpa_expr	Colistin
0.5	total	10.0	gpa_expr	Colistin
1.0	total	50.0	gpa_expr	Colistin
2.0	total	225.0	gpa_expr	Colistin
4.0	total	40.0	gpa_expr	Colistin
8.0	total	11.0	gpa_expr	Colistin
16.0	total	2.0	gpa_expr	Colistin
32.0	total	0.0	gpa_expr	Colistin
0.25	misclassified	1.0	gpa_expr	Colistin
0.5	misclassified	1.0	gpa_expr	Colistin
1.0	misclassified	8.0	gpa_expr	Colistin
2.0	misclassified	33.0	gpa_expr	Colistin
4.0	misclassified	29.0	gpa_expr	Colistin
8.0	misclassified	2.0	gpa_expr	Colistin
16.0	misclassified	0.0	gpa_expr	Colistin
32.0	misclassified	1.0	gpa_expr	Colistin
0.125	total	9.0	gpa_expr	Meropenem
0.25	total	20.0	gpa_expr	Meropenem
0.5	total	23.0	gpa_expr	Meropenem
1.0	total	28.0	gpa_expr	Meropenem
2.0	total	17.0	gpa_expr	Meropenem
8.0	total	74.0	gpa_expr	Meropenem
16.0	total	64.0	gpa_expr	Meropenem
32.0	total	33.0	gpa_expr	Meropenem
64.0	total	23.0	gpa_expr	Meropenem
128.0	total	8.0	gpa_expr	Meropenem
256.0	total	4.0	gpa_expr	Meropenem
512.0	total	20.0	gpa_expr	Meropenem
0.125	misclassified	1.0	gpa_expr	Meropenem
0.25	misclassified	1.0	gpa_expr	Meropenem
0.5	misclassified	1.0	gpa_expr	Meropenem
1.0	misclassified	6.0	gpa_expr	Meropenem
2.0	misclassified	4.0	gpa_expr	Meropenem
8.0	misclassified	7.0	gpa_expr	Meropenem
16.0	misclassified	7.0	gpa_expr	Meropenem
32.0	misclassified	2.0	gpa_expr	Meropenem
64.0	misclassified	1.0	gpa_expr	Meropenem
128.0	misclassified	1.0	gpa_expr	Meropenem
256.0	misclassified	0.0	gpa_expr	Meropenem
512.0	misclassified	0.0	gpa_expr	Meropenem
4.0	intermediate (not classified)	60.0	gpa_expr	Meropenem
0.125	total	6.0	gpa_expr	Tobramycin
0.25	total	30.0	gpa_expr	Tobramycin
0.5	total	66.0	gpa_expr	Tobramycin
1.0	total	87.0	gpa_expr	Tobramycin
2.0	total	60.0	gpa_expr	Tobramycin
4.0	total	17.0	gpa_expr	Tobramycin
16.0	total	3.0	gpa_expr	Tobramycin
32.0	total	5.0	gpa_expr	Tobramycin
64.0	total	18.0	gpa_expr	Tobramycin
128.0	total	35.0	gpa_expr	Tobramycin
256.0	total	28.0	gpa_expr	Tobramycin
512.0	total	12.0	gpa_expr	Tobramycin
1024.0	total	18.0	gpa_expr	Tobramycin
0.125	misclassified	0.0	gpa_expr	Tobramycin
0.25	misclassified	3.0	gpa_expr	Tobramycin
0.5	misclassified	1.0	gpa_expr	Tobramycin
1.0	misclassified	5.0	gpa_expr	Tobramycin
2.0	misclassified	1.0	gpa_expr	Tobramycin
4.0	misclassified	1.0	gpa_expr	Tobramycin
16.0	misclassified	2.0	gpa_expr	Tobramycin
32.0	misclassified	1.0	gpa_expr	Tobramycin
64.0	misclassified	1.0	gpa_expr	Tobramycin
128.0	misclassified	2.0	gpa_expr	Tobramycin
256.0	misclassified	2.0	gpa_expr	Tobramycin
512.0	misclassified	1.0	gpa_expr	Tobramycin
1024.0	misclassified	1.0	gpa_expr	Tobramycin
8.0	intermediate (not classified)	8.0	gpa_expr	Tobramycin
0.5	total	4.0	gpa_snps	Ceftazidim
1.0	total	19.0	gpa_snps	Ceftazidim
2.0	total	34.0	gpa_snps	Ceftazidim
4.0	total	32.0	gpa_snps	Ceftazidim
8.0	total	29.0	gpa_snps	Ceftazidim
32.0	total	27.0	gpa_snps	Ceftazidim
64.0	total	31.0	gpa_snps	Ceftazidim
128.0	total	28.0	gpa_snps	Ceftazidim
256.0	total	6.0	gpa_snps	Ceftazidim
512.0	total	8.0	gpa_snps	Ceftazidim
1024.0	total	18.0	gpa_snps	Ceftazidim
0.5	misclassified	1.0	gpa_snps	Ceftazidim
1.0	misclassified	13.0	gpa_snps	Ceftazidim
2.0	misclassified	10.0	gpa_snps	Ceftazidim
4.0	misclassified	10.0	gpa_snps	Ceftazidim
8.0	misclassified	17.0	gpa_snps	Ceftazidim
32.0	misclassified	21.0	gpa_snps	Ceftazidim
64.0	misclassified	10.0	gpa_snps	Ceftazidim
128.0	misclassified	11.0	gpa_snps	Ceftazidim
256.0	misclassified	5.0	gpa_snps	Ceftazidim
512.0	misclassified	0.0	gpa_snps	Ceftazidim
1024.0	misclassified	0.0	gpa_snps	Ceftazidim
16.0	intermediate (not classified)	80.0	gpa_snps	Ceftazidim
0.06	total	10.0	gpa_snps	Ciprofloxacin
0.125	total	34.0	gpa_snps	Ciprofloxacin
0.25	total	28.0	gpa_snps	Ciprofloxacin
0.5	total	35.0	gpa_snps	Ciprofloxacin
1.0	total	33.0	gpa_snps	Ciprofloxacin
4.0	total	26.0	gpa_snps	Ciprofloxacin
8.0	total	20.0	gpa_snps	Ciprofloxacin
16.0	total	44.0	gpa_snps	Ciprofloxacin
32.0	total	56.0	gpa_snps	Ciprofloxacin
64.0	total	24.0	gpa_snps	Ciprofloxacin
128.0	total	10.0	gpa_snps	Ciprofloxacin
256.0	total	6.0	gpa_snps	Ciprofloxacin
0.06	misclassified	1.0	gpa_snps	Ciprofloxacin
0.125	misclassified	1.0	gpa_snps	Ciprofloxacin
0.25	misclassified	2.0	gpa_snps	Ciprofloxacin
0.5	misclassified	7.0	gpa_snps	Ciprofloxacin
1.0	misclassified	8.0	gpa_snps	Ciprofloxacin
4.0	misclassified	4.0	gpa_snps	Ciprofloxacin
8.0	misclassified	6.0	gpa_snps	Ciprofloxacin
16.0	misclassified	1.0	gpa_snps	Ciprofloxacin
32.0	misclassified	1.0	gpa_snps	Ciprofloxacin
64.0	misclassified	1.0	gpa_snps	Ciprofloxacin
128.0	misclassified	0.0	gpa_snps	Ciprofloxacin
256.0	misclassified	0.0	gpa_snps	Ciprofloxacin
2.0	intermediate (not classified)	56.0	gpa_snps	Ciprofloxacin
0.25	total	1.0	gpa_snps	Colistin
0.5	total	8.0	gpa_snps	Colistin
1.0	total	52.0	gpa_snps	Colistin
2.0	total	206.0	gpa_snps	Colistin
4.0	total	38.0	gpa_snps	Colistin
8.0	total	7.0	gpa_snps	Colistin
16.0	total	1.0	gpa_snps	Colistin
32.0	total	0.0	gpa_snps	Colistin
0.25	misclassified	1.0	gpa_snps	Colistin
0.5	misclassified	3.0	gpa_snps	Colistin
1.0	misclassified	6.0	gpa_snps	Colistin
2.0	misclassified	52.0	gpa_snps	Colistin
4.0	misclassified	31.0	gpa_snps	Colistin
8.0	misclassified	6.0	gpa_snps	Colistin
16.0	misclassified	1.0	gpa_snps	Colistin
32.0	misclassified	1.0	gpa_snps	Colistin
0.125	total	10.0	gpa_snps	Meropenem
0.25	total	21.0	gpa_snps	Meropenem
0.5	total	23.0	gpa_snps	Meropenem
1.0	total	27.0	gpa_snps	Meropenem
2.0	total	15.0	gpa_snps	Meropenem
8.0	total	72.0	gpa_snps	Meropenem
16.0	total	64.0	gpa_snps	Meropenem
32.0	total	31.0	gpa_snps	Meropenem
64.0	total	22.0	gpa_snps	Meropenem
128.0	total	8.0	gpa_snps	Meropenem
256.0	total	4.0	gpa_snps	Meropenem
512.0	total	20.0	gpa_snps	Meropenem
0.125	misclassified	0.0	gpa_snps	Meropenem
0.25	misclassified	0.0	gpa_snps	Meropenem
0.5	misclassified	1.0	gpa_snps	Meropenem
