drug	mode	lower	upper	p_val	inner_cor	inner_miscl	outer_cor	outer_miscl	pval.adj	is_sig
Ceftazidim	gpa_expr	1	256	0.0116190742969383	187	65	28	2	0.0163733854681111	FALSE
Ceftazidim	gpa_expr	0.5	512	0.00634260070597446	197	67	18	0	0.0158565017649361	FALSE
Ciprofloxacin	gpa_expr	1	4	1.83410292599523e-06	24	26	205	46	3.66820585199045e-06	FALSE
Ciprofloxacin	gpa_expr	0.5	8	1.24526379891689e-05	65	41	164	31	1.66035173188919e-05	FALSE
Ciprofloxacin	gpa_expr	0.25	16	5.89058884743828e-07	110	58	119	14	2.35623553897531e-06	TRUE
Ciprofloxacin	gpa_expr	0.125	32	0.0778753109044433	189	65	40	7	0.0778753109044433	FALSE
Meropenem	gpa_expr	2	8	0.216722689425671	79	12	210	22	0.216722689425671	FALSE
Meropenem	gpa_expr	1	16	0.00983983096492751	157	26	132	8	0.0491991548246375	TRUE
Meropenem	gpa_expr	0.5	32	0.0789094690073765	210	29	79	5	0.131515781678961	FALSE
Meropenem	gpa_expr	0.25	64	0.161066669735846	250	32	39	2	0.201333337169807	FALSE
Meropenem	gpa_expr	0.125	128	0.0623230256290921	265	34	24	0	0.131515781678961	FALSE
Tobramycin	gpa_expr	4	16	0.120251574926736	17	3	344	21	0.721509449560415	FALSE
Tobramycin	gpa_expr	2	32	0.643639174035035	80	5	281	19	0.958065040309741	FALSE
Tobramycin	gpa_expr	1	64	0.713927753572156	179	11	182	13	0.958065040309741	FALSE
Tobramycin	gpa_expr	0.5	128	0.958065040309741	276	15	85	9	0.958065040309741	FALSE
Tobramycin	gpa_expr	0.25	256	0.824077802350033	328	21	33	3	0.958065040309741	FALSE
Tobramycin	gpa_expr	0.125	512	0.689117485032994	344	23	17	1	0.958065040309741	FALSE
Ceftazidim	gpa_snps	8	32	5.72188757534676e-09	9	47	107	73	2.86094378767338e-08	TRUE
Ceftazidim	gpa_snps	4	64	0.000341974503509404	45	74	71	46	0.000427468129386756	FALSE
Ceftazidim	gpa_snps	2	128	0.0459539294795094	83	98	33	22	0.0459539294795094	FALSE
Ceftazidim	gpa_snps	1	256	5.32565027842204e-08	88	118	28	2	1.33141256960551e-07	FALSE
Ceftazidim	gpa_snps	0.5	512	1.35705608630367e-06	98	120	18	0	2.26176014383945e-06	FALSE
Ciprofloxacin	gpa_snps	1	4	0.0014915903789436	44	15	242	25	0.0019887871719248	FALSE
Ciprofloxacin	gpa_snps	0.5	8	5.19169995955256e-09	83	31	203	9	2.07667998382103e-08	TRUE
Ciprofloxacin	gpa_snps	0.25	16	1.23350376571589e-05	151	35	135	5	2.46700753143178e-05	FALSE
Ciprofloxacin	gpa_snps	0.125	32	0.0344872204006744	238	38	48	2	0.0344872204006744	FALSE
Meropenem	gpa_snps	2	8	0.0352894343774102	70	17	205	25	0.0588157239623503	FALSE
Meropenem	gpa_snps	1	16	0.00941175321905793	147	31	128	11	0.0470587660952897	TRUE
Meropenem	gpa_snps	0.5	32	0.0326764172641907	196	36	79	6	0.0588157239623503	FALSE
Meropenem	gpa_snps	0.25	64	0.0573613099077806	235	40	40	2	0.0717016373847257	FALSE
Meropenem	gpa_snps	0.125	128	0.143388324439959	252	41	23	1	0.143388324439959	FALSE
Tobramycin	gpa_snps	4	16	0.0216488293402305	13	5	323	31	0.129892976041383	FALSE
Tobramycin	gpa_snps	2	32	0.378117263001234	72	9	264	27	0.999186889210085	FALSE
Tobramycin	gpa_snps	1	64	0.800189857371786	169	16	167	20	0.999186889210085	FALSE
Tobramycin	gpa_snps	0.5	128	0.999186889210085	265	20	71	16	0.999186889210085	FALSE
Tobramycin	gpa_snps	0.25	256	0.971097995859758	309	30	27	6	0.999186889210085	FALSE
Tobramycin	gpa_snps	0.125	512	0.779670464056123	321	34	15	2	0.999186889210085	FALSE
Ceftazidim	gpa	8	32	8.3429979502422e-05	20	41	112	70	0.00013904996583737	FALSE
Ceftazidim	gpa	4	64	0.00028716058672611	53	70	79	41	0.00028716058672611	FALSE
Ceftazidim	gpa	2	128	0.000232849097074445	88	96	44	15	0.00028716058672611	FALSE
Ceftazidim	gpa	1	256	6.7798940672936e-08	103	110	29	1	3.3899470336468e-07	TRUE
Ceftazidim	gpa	0.5	512	9.60371456607471e-06	114	111	18	0	2.40092864151868e-05	FALSE
Ciprofloxacin	gpa	1	4	0.000162843487358204	26	26	185	56	0.000325686974716408	FALSE
Ciprofloxacin	gpa	0.5	8	1.64903389615498e-07	54	48	157	34	6.59613558461993e-07	TRUE
Ciprofloxacin	gpa	0.25	16	0.000329837104019933	107	60	104	22	0.000439782805359911	FALSE
Ciprofloxacin	gpa	0.125	32	0.745098109370025	182	69	29	13	0.745098109370025	FALSE
Meropenem	gpa	2	8	0.0306080828722873	67	18	201	27	0.054531486902455	FALSE
Meropenem	gpa	1	16	0.00773679190173615	142	33	126	12	0.0386839595086807	TRUE
Meropenem	gpa	0.5	32	0.043625189521964	191	38	77	7	0.054531486902455	FALSE
Meropenem	gpa	0.25	64	0.0373778939164573	228	43	40	2	0.054531486902455	FALSE
Meropenem	gpa	0.125	128	0.111481146759011	245	44	23	1	0.111481146759011	FALSE
Tobramycin	gpa	4	16	0.0143169615432892	13	5	330	28	0.085901769259735	TRUE
Tobramycin	gpa	2	32	0.261832783708123	72	9	271	24	0.778033245160102	FALSE
Tobramycin	gpa	1	64	0.448764245832064	167	17	176	16	0.778033245160102	FALSE
Tobramycin	gpa	0.5	128	0.923217470514375	262	22	81	11	0.923217470514375	FALSE
Tobramycin	gpa	0.25	256	0.819656797974139	312	29	31	4	0.923217470514375	FALSE
Tobramycin	gpa	0.125	512	0.518688830106735	326	32	17	1	0.778033245160102	FALSE
Ceftazidim	snps	8	32	1.1584308469809e-05	14	46	97	78	1.9307180783015e-05	FALSE
Ceftazidim	snps	4	64	0.00169387805817914	45	75	66	49	0.00170735155158672	FALSE
Ceftazidim	snps	2	128	0.00170735155158672	74	104	37	20	0.00170735155158672	FALSE
Ceftazidim	snps	1	256	4.83605153895692e-07	85	121	26	3	1.55509408690779e-06	TRUE
Ceftazidim	snps	0.5	512	6.22037634763115e-07	93	124	18	0	1.55509408690779e-06	TRUE
Ciprofloxacin	snps	1	4	0.000698067450428158	44	15	247	23	0.000930756600570878	FALSE
Ciprofloxacin	snps	0.5	8	4.65674134120398e-10	84	31	207	7	1.86269653648159e-09	TRUE
Ciprofloxacin	snps	0.25	16	5.81155112549332e-07	152	35	139	3	1.16231022509866e-06	FALSE
Ciprofloxacin	snps	0.125	32	0.000934523322753964	239	38	52	0	0.000934523322753964	FALSE
Meropenem	snps	2	8	0.00250757140577449	15	46	81	96	0.00250757140577449	FALSE
Meropenem	snps	1	16	0.00128363166843833	41	90	55	52	0.00160453958554791	FALSE
Meropenem	snps	0.5	32	1.25516951965442e-10	45	122	51	20	6.27584759827211e-10	TRUE
Meropenem	snps	0.25	64	5.04235158257472e-09	65	136	31	6	1.09166304996389e-08	FALSE
Meropenem	snps	0.125	128	6.54997829978334e-09	74	141	22	1	1.09166304996389e-08	FALSE
Tobramycin	snps	4	16	0.0987924823770358	15	4	322	32	0.592754894262215	FALSE
Tobramycin	snps	2	32	0.37466838944167	72	9	265	27	0.990088993674278	FALSE
Tobramycin	snps	1	64	0.94880299111996	174	14	163	22	0.990088993674278	FALSE
Tobramycin	snps	0.5	128	0.990088993674278	262	22	75	14	0.990088993674278	FALSE
Tobramycin	snps	0.25	256	0.971486143375464	310	30	27	6	0.990088993674278	FALSE
Tobramycin	snps	0.125	512	0.78087615734649	322	34	15	2	0.990088993674278	FALSE
